USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23236 13580 ?        Ss   15:26   0:01 /sbin/init splash
dam         3377  0.0  0.0  23244  3732 ?        S    15:26   0:00 (sd-pam)
dam         3387  0.2  0.0 118800 14304 ?        S<sl 15:26   0:25 /usr/bin/pipewire
dam         3389  0.0  0.0 100352  5760 ?        Ssl  15:26   0:00 /usr/bin/pipewire -c filter-chain.conf
dam         3390  0.0  0.0  39924 25076 ?        Ss   15:26   0:00 /usr/bin/python3 /usr/bin/powerline-daemon --foreground
dam         3391  0.0  0.1 570536 32676 ?        S<sl 15:26   0:00 /usr/bin/wireplumber
dam         3392  0.3  0.0 125520 22272 ?        S<Lsl 15:26   0:38 /usr/bin/pipewire-pulse
dam         3393  0.0  0.0 319492 10240 ?        SLsl 15:26   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1001/keyring
dam         3395  0.0  0.0  10552  5120 ?        Ss   15:26   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
dam         3421  0.0  0.0 477956 14848 ?        Ssl  15:26   0:00 /usr/lib/x86_64-linux-gnu/cinnamon-session-binary --session cinnamon
dam         3636  0.0  0.0 453224 24764 ?        Sl   15:26   0:00 /usr/bin/csd-automount
dam         3637  0.0  0.0 304208  6144 ?        Sl   15:26   0:00 /usr/bin/csd-settings-remap
dam         3638  0.0  0.0 601808 26240 ?        Sl   15:26   0:00 /usr/bin/csd-power
dam         3640  0.0  0.0 379312 24820 ?        Sl   15:26   0:00 /usr/bin/csd-housekeeping
dam         3641  0.0  0.0 379776 25016 ?        Sl   15:26   0:00 /usr/bin/csd-wacom
dam         3642  0.0  0.0 541444 27092 ?        Sl   15:26   0:00 /usr/bin/csd-color
dam         3643  0.0  0.1 446336 34456 ?        Sl   15:26   0:00 /usr/bin/csd-background
dam         3647  0.0  0.0 383100  7936 ?        Sl   15:26   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
dam         3648  0.0  0.0 303796  5248 ?        Sl   15:26   0:00 /usr/bin/csd-screensaver-proxy
dam         3652  0.0  0.0 381744 27700 ?        Sl   15:26   0:00 /usr/bin/csd-xsettings
dam         3658  0.0  0.0   9556  4864 ?        S    15:26   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1001/at-spi/bus_0
dam         3659  0.0  0.0 379076 25080 ?        Sl   15:26   0:01 /usr/bin/csd-keyboard
dam         3660  0.0  0.0 671052 27812 ?        Sl   15:26   0:00 /usr/bin/csd-media-keys
dam         3661  0.0  0.0 305104 24472 ?        Sl   15:26   0:00 /usr/bin/csd-clipboard
dam         3662  0.0  0.0 318044 10880 ?        Sl   15:26   0:00 /usr/bin/csd-print-notifications
dam         3667  0.0  0.0 305204  6144 ?        Sl   15:26   0:00 /usr/bin/csd-a11y-settings
dam         3669  0.0  0.0 230368  5760 ?        Ssl  15:26   0:00 /usr/libexec/dconf-service
dam         3707  0.0  0.0 317256  8192 ?        Ssl  15:26   0:00 /usr/libexec/gvfsd
dam         3717  0.0  0.0 462632  6912 ?        Sl   15:26   0:00 /usr/libexec/gvfsd-fuse /run/user/1001/gvfs -f
dam         3732  0.0  0.0 419012 15232 ?        Sl   15:26   0:00 /usr/libexec/csd-printer
dam         3736  0.0  0.0 236164  7552 ?        Sl   15:26   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
dam         3756  0.0  0.0 392316 10496 ?        Ssl  15:26   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
dam         3771  0.0  0.0 313636  6912 ?        Ssl  15:26   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
